Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
7352.719999999999,18228.776,226098.03,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Increased_Cost Estimate,US East (N. Virginia),,S3 Standard,0,20.7,248.40,USD,S3 Standard storage (900 GB per month)
Increased_Cost Estimate,US East (N. Virginia),,Data Transfer,0,92.16,1105.92,USD,"DT Inbound: Internet (1 TB per month), DT Outbound: Internet (1 TB per month)"
Increased_Cost Estimate,US East (N. Virginia),,Amazon Route 53,0,506.75,6081.00,USD,"Hosted Zones (1), Basic Checks Within AWS (150), Number of Elastic Network Interfaces (5)"
Increased_Cost Estimate,US East (N. Virginia),,Amazon EC2,2680.56,241.38,5577.12,USD,"Operating system (Linux), Quantity (6), Pricing strategy (EC2 Instance Savings Plans 1 Year Partial Upfront), Storage amount (30 GB), Instance type (c5.xlarge)"
Increased_Cost Estimate,US East (N. Virginia),,Amazon RDS for MySQL,3656,417.356,8664.27,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (150 GB), Quantity (2), Instance type (db.m5.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr Partial Upfront)"
Increased_Cost Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,4640.85,55690.20,USD,Number of NAT Gateways (1)
Increased_Cost Estimate,US East (N. Virginia),,Gateway Load Balancer,0,5631.95,67583.40,USD,"Number of Availability Zones that Gateway Load Balancer is deployed to (2), Number of Gateway Load Balancer Endpoints (1), Total processed bytes (1 TB per hour)"
Increased_Cost Estimate,US East (N. Virginia),,Amazon Elastic IP,0,1292.1,15505.20,USD,"Number of EC2 instances (6), Number of EIPs per instance (60)"
Increased_Cost Estimate,US East (N. Virginia),,Amazon EC2,1016.16,96.68,2176.32,USD,"Operating system (Linux), Quantity (4), Pricing strategy (EC2 Instance Savings Plans 1 Year Partial Upfront), Storage amount (30 GB), Instance type (m5.large)"
Increased_Cost Estimate,US East (N. Virginia),,Application Load Balancer,0,5288.85,63466.20,USD,Number of Application Load Balancers (2)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
